Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 100, People: 100, Generation: 1000",swap_last_halves,58/100,480836,"[39, 96, 70, 60, 62, 8, 14, 27, 85, 37, 35, 4, 2, 16, 30, 64, 49, 46, 11, 78, 59, 48, 51, 32, 3, 19, 71, 80, 74, 93, 96, 35, 46, 67, 94, 88, 25, 29, 37, 89, 87, 78, 56, 61, 47, 63, 45, 68, 85, 69, 67, 27, 2, 95, 43, 38, 11, 15, 21, 6, 54, 89, 79, 37, 26, 11, 62, 90, 53, 68]",70
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_single_gene,44/100,608136,"[44, 44, 83, 94, 33, 14, 25, 4, 85, 85, 66, 63, 38, 38, 40, 6, 6, 6, 16, 59, 51, 51, 68, 35, 38, 11, 11, 11, 67, 67, 67, 48, 48, 48, 46, 92, 78, 88, 88, 93, 46, 30, 37, 87, 26, 37, 37, 48, 62, 32, 84, 79, 26, 37, 37, 37, 37, 36, 36, 78, 78, 78, 59, 80, 80, 48, 48, 67, 99, 29, 11, 11, 85, 89, 20, 35, 51, 94, 71, 21, 2, 21, 38, 85, 63, 63, 38, 38, 38, 34, 34, 34, 25, 25, 25, 33, 44, 54, 20, 44, 79, 95, 37]",103
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,54/100,507425,"[0, 2, 64, 43, 46, 68, 95, 94, 59, 35, 51, 78, 25, 10, 48, 80, 29, 89, 88, 71, 11, 6, 14, 15, 54, 93, 37, 35, 25, 67, 79, 85, 74, 76, 87, 96, 46, 51, 21, 16, 26, 62, 69, 71, 83, 89, 78, 67, 2, 4, 38, 37, 40, 11, 30, 61, 63, 68, 38, 20, 53, 68, 51]",63
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 100, People: 100, Generation: 1000",swap_last_halves,44/100,601681,"[39, 29, 8, 60, 85, 96, 70, 4, 62, 89, 11, 3, 15, 21, 14, 30, 46, 61, 67, 85, 78, 59, 48, 51, 93, 63, 27, 46, 37, 74, 56, 35, 16, 3, 80, 87, 88, 48, 43, 47, 45, 68, 78, 69, 38, 37, 27, 15, 2, 7, 32, 29, 55, 67, 74, 80, 95, 89, 64, 6]",60
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_single_gene,38/100,658831,"[94, 81, 69, 67, 47, 53, 26, 68, 96, 96, 72, 69, 67, 44, 35, 33, 62, 51, 62, 67, 67, 88, 35, 62, 62, 46, 46, 59, 89, 62, 15, 37, 45, 2, 27, 25, 25, 11, 11, 6, 87, 78, 74, 53, 48, 63, 79, 93, 93, 93, 79, 68, 64, 46, 55, 55, 74, 87, 11, 11, 5, 5, 21, 21, 82, 37, 7, 7, 35, 67, 67, 49, 3, 5, 5, 51, 55, 55, 62, 62, 62, 62, 44, 44, 35, 35, 67, 67, 96, 80, 80, 80, 67, 67, 29, 89, 38]",97
"Floors: 100, People: 100, Generation: 1000",heuristic_crossover_sequence_of_genes,56/100,483175,"[0, 2, 19, 44, 64, 46, 78, 59, 51, 35, 76, 68, 95, 94, 25, 6, 11, 14, 48, 24, 36, 10, 51, 55, 88, 93, 67, 46, 80, 85, 74, 71, 37, 16, 29, 61, 87, 96, 62, 63, 69, 67, 47, 78, 89, 54, 45, 43, 79, 26, 2, 38, 62, 37, 11, 15, 20, 21, 53, 68, 51]",61
Name,Crossover Name,Arrvied,Best Fitness,Best Chromosome,Chromosome Length
"Floors: 100, People: 100, Generation: 1000",swap_last_halves,67/100,425352,"[25, 23, 88, 52, 37, 84, 85, 92, 86, 95, 81, 69, 14, 67, 87, 61, 6, 26, 39, 99, 8, 63, 86, 85, 16, 11, 67, 15, 0, 4, 62, 94, 30, 59, 51, 35, 10, 2, 25, 21, 64, 60, 27, 68, 48, 7, 6, 80, 76, 29, 3, 51, 93, 55, 49, 46, 74, 71, 89, 90, 87, 78, 96, 62, 59, 38, 53, 32, 68, 54, 37, 48, 79, 80, 26, 18, 11, 77, 93, 62]",80
